//================================================================================
// Greater Tranquil Boots
//================================================================================

"DOTA_Tooltip_Ability_item_greater_tranquil_boots"                              "Greater Tranquil Boots"
"DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots"                       "Greater Tranquil Boots Recipe"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_Description"                  "<h1>Passive: Break</h1> Whenever you attack a hero or are attacked by a hero, the bonus %bonus_health_health% HP regen is lost and the movement speed bonus is reduced to %broken_movement_speed% for %break_time% seconds. Bosses and player-controlled units also trigger Break when they attack you.\n<h1>Passive: Naturalize</h1> Generate charges every %distance_per_charge% distance moved. At 100 charges, your next attack on a neutral creep will consume them to instantly kill it for %bonus_gold% additional gold.\n#{fools_gold_penalty_warning}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_Lore"                         "These boots give the wearer the Ability to use a dying enemy's life energy."
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_movement_speed"         "%+$move_speed"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_health_regen"           "+$hp_regen"

"DOTA_Tooltip_Ability_item_greater_tranquil_boots_2"                            "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots_2"                     "#{DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_2_Description"                "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_2_Lore"                       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_2_bonus_movement_speed"       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_2_bonus_health_regen"         "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_health_regen}"

"DOTA_Tooltip_Ability_item_greater_tranquil_boots_3"                            "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots_3"                     "#{DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_3_Description"                "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_3_Lore"                       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_3_bonus_movement_speed"       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_3_bonus_health_regen"         "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_health_regen}"

"DOTA_Tooltip_Ability_item_greater_tranquil_boots_4"                            "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots_4"                     "#{DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_4_Description"                "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_4_Lore"                       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_4_bonus_movement_speed"       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_4_bonus_health_regen"         "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_health_regen}"

"DOTA_Tooltip_Ability_item_greater_tranquil_boots_5"                            "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots_5"                     "#{DOTA_Tooltip_Ability_item_recipe_greater_tranquil_boots}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_5_Description"                "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_5_Lore"                       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_5_bonus_movement_speed"       "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_greater_tranquil_boots_5_bonus_health_regen"         "#{DOTA_Tooltip_Ability_item_greater_tranquil_boots_bonus_health_regen}"
