"npc_dota_hero_sohei"                                                           "Sohei"
"npc_dota_hero_sohei_hype"                                                      "Sohei is a strength hero designed around fast movement and powerful abilities to dodge enemies. He dashes around and reflects projectiles while removing negative effects and building up momentum to slam enemies with powerful blasts knocking them back, and his ultimate that keeps enemies in an area while dealing damage to them"

"DOTA_Tooltip_Ability_sohei_dash"                                               "Dash"
//"DOTA_Tooltip_Ability_sohei_dash_description"                                   "Consumes a charge to quickly dash %dash_distance% units in the direction you are facing. Can be used to dash over cliffs and through trees. Dash charges restore every %charge_restore_time% seconds."
"DOTA_Tooltip_Ability_sohei_dash_Description"                                   "Consumes a charge to quickly dash towards the target location. Sohei damages and slows enemies he dashed through. Dash charges restore over time. Dash speed is based on Sohei's current movement speed."
"DOTA_Tooltip_Ability_sohei_dash_Lore"                                          "Takuan likes manipulating his movement for good unlike others."
"DOTA_Tooltip_Ability_sohei_dash_Note0"                                         "Can be used to traverse over cliffs or through trees."
"DOTA_Tooltip_Ability_sohei_dash_Note1"                                         "Sohei is not invulnerable during Dash without the Shard."
"DOTA_Tooltip_Ability_sohei_dash_dash_speed"                                    "DASH MAX SPEED:"
"DOTA_Tooltip_Ability_sohei_dash_dash_width"                                    "DASH WIDTH:"
"DOTA_Tooltip_Ability_sohei_dash_damage"                                        "DAMAGE:"
"DOTA_Tooltip_Ability_sohei_dash_move_speed_slow_pct"                           "%MOVE SPEED SLOW:"
"DOTA_Tooltip_Ability_sohei_dash_slow_duration"                                 "SLOW DURATION:"
"DOTA_Tooltip_Ability_sohei_dash_shard_base_heal"                               "SHARD BASE HEAL:"
"DOTA_Tooltip_Ability_sohei_dash_shard_hp_as_heal"                              "%SHARD CURRENT HP AS HEAL:"
"DOTA_Tooltip_Ability_sohei_dash_shard_description"                             "Sohei heals allies he dashed through for 100 plus 10%% of his current health and pulls them along the way. Sohei and his allies are invulnerable during Dash and disjoint projectiles."

"DOTA_Tooltip_Ability_sohei_guard"                                              "Guard"
"DOTA_Tooltip_Ability_sohei_guard_description"                                  "Removes most negative effects and reflects all projectiles that would hit you for the next %guard_duration% seconds. Can be used while stunned but consumes %charges_required% charges of Dash if used while stunned.\n\nDISPEL TYPE: Strong Dispel"
"DOTA_Tooltip_Ability_sohei_guard_note1"                                        "Can be activated while stunned but not while silenced."
"DOTA_Tooltip_Ability_sohei_guard_guard_duration"                               "DURATION:"

"DOTA_Tooltip_Ability_sohei_wholeness_of_body"                                  "Wholeness of Body"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_Description"                      "Grants bonus magic resistance to the target for the duration. When the buff expires, target will be healed for a base amount plus a percentage of the damage target took while the buff was active. Removes most debuffs and stuns on cast.\n\nDISPEL TYPE: Strong Dispel"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_Lore"                             "Takuan can mend any illness or damage with his ki energy."
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_Note0"                            "Cannot be used while stunned."
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_Note1"                            "Heal per damage taken is based on damage before reductions."
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_bonus_magic_resistance"           "%MAGIC RESISTANCE:"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_duration"                         "DURATION:"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_post_heal"                        "BASE HEAL:"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_damage_taken_heal"                "%HEAL PER DAMAGE TAKEN:"

"DOTA_Tooltip_Ability_sohei_momentum"                                           "Momentum"
"DOTA_Tooltip_Ability_sohei_momentum_description"                               "When toggled ON: After moving %trigger_distance% units your next attack is a critical strike and pushes your target %knockback_distance% units. If an enemy unit is pushed into a cliff or tree then that unit is slowed and the knockback stops. If colliding with another enemy hero, both heroes are slowed."
"DOTA_Tooltip_Ability_sohei_momentum_crit_damage"                               "%CRIT DAMAGE:"
"DOTA_Tooltip_Ability_sohei_momentum_movement_slow"                             "%MOVEMENT SLOW:"
"DOTA_Tooltip_Ability_sohei_momentum_slow_duration"                             "DURATION:"
"DOTA_Tooltip_Ability_sohei_momentum_knockback_speed"                           "KNOCKBACK SPEED:"
"DOTA_Tooltip_Ability_sohei_momentum_Lore"                                      "Takuan's ki power bludgeons and pushes those who stand before him."

"DOTA_Tooltip_Ability_sohei_momentum_strike"                                    "Momentum Strike"
"DOTA_Tooltip_Ability_sohei_momentum_strike_description"                        "Sohei emits energy from his weapon that does critical damage and pushes the first enemy unit it hits. If an enemy unit is pushed into a tree, building, or cliff then that unit will be slowed and stunned. If pushed unit is a hero and it collides with another enemy hero, both heroes will be slowed and stunned."
"DOTA_Tooltip_Ability_sohei_momentum_strike_Lore"                               "Takuan's ki power bludgeons and pushes those who stand before him."
"DOTA_Tooltip_Ability_sohei_momentum_strike_Note0"                              "Cannot hit invisible and ethereal (attack-immune) units."
"DOTA_Tooltip_Ability_sohei_momentum_strike_Note1"                              "Momentum Strike can hit units behind Sohei if they are too close to him."
