"npc_dota_hero_tinker"                                                          "Tinkerer"
"npc_dota_tinkerer_keen_node"                                                   "Keen Node"

// "DOTA_Tooltip_ability_tinker_laser"                                            "Laser"
// "DOTA_Tooltip_ability_tinker_laser_Description"                                "Fires an intense energy beam, dealing damage to the target and all enemy units around it. The main target is blinded, causing them to miss all physical attacks."
// "DOTA_Tooltip_ability_tinker_laser_scepter_description"                        "Upgrades Tinker's Laser into a Shrink Ray, granting +%scepter_bonus_cast_range% cast range and reducing the main target's size, current health, and maximum health by %scepter_reduction_pct%%% (stacking) if it's a hero. The laser bounces once on the farthest target up to %scepter_bounce_radius% range from the primary one, prioritizing heroes."
// "DOTA_Tooltip_ability_tinker_laser_Lore"                                       "Boush perfected this rock cutting laser in his subterranean laboratory, never considering its combat utility."
// "DOTA_Tooltip_ability_tinker_laser_abilitycastrange"                           "CAST RANGE:"
// "DOTA_Tooltip_ability_tinker_laser_miss_rate"                                  "%BLIND MISS RATE:"
// "DOTA_Tooltip_ability_tinker_laser_duration_hero"                              "HERO BLIND DURATION:"
// "DOTA_Tooltip_ability_tinker_laser_duration_creep"                             "CREEP BLIND DURATION:"
// "DOTA_Tooltip_ability_tinker_laser_laser_damage"                               "LASER DAMAGE:"
// "DOTA_Tooltip_ability_tinker_laser_radius_explosion"                           "RADIUS SECONDARY DAMAGE:"
// "DOTA_Tooltip_ability_tinker_laser_splash_pct"                                 "%SECONDARY DAMAGE:"
// "DOTA_Tooltip_ability_tinker_shrink_ray"                                       "Shrink Ray"
// "DOTA_Tooltip_ability_tinker_shrink_ray_Description"                           "Reduces the enemy target size and lowers their max health by 20%% for %duration% seconds."
// "DOTA_Tooltip_ability_tinker_shrink_ray_scale_reduction"                       "%MODEL SCALE REDUCTION:"
// "DOTA_Tooltip_ability_tinker_shrink_ray_health_reduction"                      "%MAX HEALTH REDUCTION:"
// "DOTA_Tooltip_ability_tinker_shrink_ray_slow"                                  "%MOVEMENT SPEED SLOW:"
// "DOTA_Tooltip_ability_tinker_heat_seeking_missile"                             "Heat-Seeking Missile"
// "DOTA_Tooltip_ability_tinker_heat_seeking_missile_Description"                 "Launches rockets at the nearest visible heroes within %radius% range."
// "DOTA_Tooltip_ability_tinker_heat_seeking_missile_Lore"                        "The last contraption Boush was able to save was a retrofitted rocket launcher with a homing mechanism."
// "DOTA_Tooltip_ability_tinker_heat_seeking_missile_damage"                      "DAMAGE:"
// "DOTA_Tooltip_ability_tinker_heat_seeking_missile_targets"                     "TARGETS:"
// "DOTA_Tooltip_ability_tinker_heat_seeking_missile_speed"                       "MISSILE SPEED:"
// "DOTA_Tooltip_ability_tinker_warp_grenade"                                     "Warp Flare"
// "DOTA_Tooltip_ability_tinker_warp_grenade_Description"                         "Throws a flare towards an enemy, dealing damage, teleporting them away and reducing their Cast and Attack Range for %debuff_duration% seconds"
// "DOTA_Tooltip_ability_tinker_warp_grenade_damage"                              "DAMAGE:"
// "DOTA_Tooltip_ability_tinker_warp_grenade_knockback_distance"                  "TELEPORT DISTANCE:"
// "DOTA_Tooltip_ability_tinker_warp_grenade_range_reduction"                     "%CAST/ATTACK RANGE REDUCTION:"
// "DOTA_Tooltip_ability_tinker_warp_grenade_abilitycooldown"                     "COOLDOWN:"
// "DOTA_Tooltip_ability_tinker_warp_grenade_abilitymanacost"                     "MANA COST:"
// "DOTA_Tooltip_ability_tinker_march_of_the_machines"                            "March of the Machines"
// "DOTA_Tooltip_ability_tinker_march_of_the_machines_Description"                "Enlists an army of robotic minions to destroy enemy units in an area around Tinker."
// "DOTA_Tooltip_ability_tinker_march_of_the_machines_Lore"                       "Even though the laboratory has since been sealed off, the ability to radio in robotic drones is still in working order."
// "DOTA_Tooltip_ability_tinker_march_of_the_machines_Note0"                      "Robots spawn at a rate of %machines_per_sec% per second."
// "DOTA_Tooltip_ability_tinker_march_of_the_machines_radius"                     "RADIUS:"
// "DOTA_Tooltip_ability_tinker_march_of_the_machines_duration"                   "DURATION:"
// "DOTA_Tooltip_ability_tinker_march_of_the_machines_damage"                     "DAMAGE:"
// "DOTA_Tooltip_ability_tinker_rearm"                                            "Rearm"
