//=============================================================================
// Zeus's Nimbus rework
//=============================================================================

"DOTA_Tooltip_ability_zuus_cloud_oaa"                                           "#{DOTA_Tooltip_ability_zuus_cloud}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_Description"                               "#{DOTA_Tooltip_ability_zuus_cloud_Description}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_Lore"                                      "#{DOTA_Tooltip_ability_zuus_cloud_lore}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_Note0"                                     "#{DOTA_Tooltip_ability_zuus_cloud_Note0}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_Note1"                                     "#{DOTA_Tooltip_ability_zuus_cloud_Note1}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_Note2"                                     "Creeps do half damage to the Nimbus."
"DOTA_Tooltip_ability_zuus_cloud_oaa_cloud_duration"                            "#{DOTA_Tooltip_ability_zuus_cloud_cloud_duration}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_cloud_bolt_interval"                       "LIGHTNING BOLT COOLDOWN:"
"DOTA_Tooltip_ability_zuus_cloud_oaa_cloud_radius"                              "#{DOTA_Tooltip_ability_zuus_cloud_cloud_radius}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_ministun_duration"                         "STUN DURATION:"
"DOTA_Tooltip_ability_zuus_cloud_oaa_hits_to_kill_tooltip"                      "#{DOTA_Tooltip_ability_zuus_cloud_hits_to_kill_tooltip}"
"DOTA_Tooltip_ability_zuus_cloud_oaa_creep_hits_to_kill_tooltip"                "#{DOTA_Tooltip_ability_zuus_cloud_creep_hits_to_kill_tooltip}"
